"sum(2023)_Current Assets";"sum(2023)_Current Liabilities";"sum(2023)_End Cash Position";"sum(2023)_Net Income";"sum(2023)_Total Assets";"sum(2023)_Total Equity Gross Minority Interest";"sum(2023)_Total Liabilities Net Minority Interest";"sum(2023)_Total Revenue";"id";"cluster"
0.25586611879650834;-0.28807623160315154;-0.15433309418825938;-0.08152847892283611;-0.1449665305946868;-0.22600363035899496;-0.12415371623948739;-0.27529212357825106;66;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.1040495003133646;-0.028417883152274465;-0.07496171205453289;-0.0916423709542625;-0.06952558590914645;-0.25722969180379923;67;"cluster_0"
-0.32547122902645337;-0.3056696033298343;9.29578075918448;3.45853896998725;7.226187014826252;5.645508994288488;7.375465415397865;2.5623766504636527;68;"cluster_1"
-0.32547122902645337;-0.3056696033298343;13.197034084667658;10.127137593700297;13.21615368307687;11.838739440860689;13.169579437787606;7.44782545049679;69;"cluster_1"
-0.3254702943201836;-0.3056689535649349;-0.17499391390995078;-0.09939727237094474;-0.18444929234274532;-0.2794089870759964;-0.1596885640846307;-0.305925052019359;70;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.16523362488286347;-0.07683937417176538;-0.1596369296824088;-0.1570549214805405;-0.156106395947878;-0.2858678047664776;71;"cluster_0"
-0.32547122902645337;-0.3056696033298343;3.0682374479506813;0.4963273664701658;2.807657389191056;0.8876782767989907;3.141392891846365;0.4526928347590265;72;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.015825316746748447;-0.19692914864349548;-0.060540140903285265;-0.15216628177278077;-0.03964688591513666;-0.1553902501972152;73;"cluster_0"
1.604811940895453;0.11251051467315369;0.08568024146196644;-0.08988073539442837;-0.008068128810379849;-0.011255792022683522;-0.007189038363993509;-0.17069640558208737;74;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.08950538564524575;-0.08465804398396527;0.044808334545185007;-0.13672199691227427;0.08199588197737387;-0.2733468391212963;75;"cluster_0"
