"symbol";"account";"type";"2020";"2021";"2022";"2023"
"ADCP";"Capital Expenditure";"CF";-1.109743585E9;-3.1335E9;-3.1335E9;-3.1335E9
"ADCP";"Cash And Cash Equivalents";"BS";4.4698876735E10;6.0530437116E10;2.6869792306E10;2.83694481906E11
"ADCP";"Cash Flowsfromusedin Operating Activities Direct";"CF";-2.31413053812E11;-1.37027104396E11;1.22114790323E11;1.956752242E9
"ADCP";"Cost Of Revenue";"IS";8.01582919316E11;4.16880451565E11;4.39458758404E11;4.80306927982E11
"ADCP";"Current Assets";"BS";3.198674282991E12;3.635321504731E12;3.437620593864E12;3.430583376693E12
"ADCP";"Current Liabilities";"BS";2.39214263119E12;3.51912982048E12;3.579040895194E12;2.574442426693E12
"ADCP";"End Cash Position";"CF";4.4698876735E10;6.0530437116E10;2.6869792306E10;2.83694481906E11
"ADCP";"Gross Profit";"IS";1.75638090188E11;1.4680761486E11;1.53228955379E11;1.71651975788E11
"ADCP";"Net Income";"IS";1.33251330455E11;1.30360577564E11;1.05019176258E11;1.16165361945E11
"ADCP";"Operating Expense";"IS";3.620570416E10;2.9421666935E10;3.3333175709E10;3.8609479865E10
"ADCP";"Operating Income";"IS";1.39432386028E11;1.17385947925E11;1.1989577967E11;1.33042495923E11
"ADCP";"Total Assets";"BS";4.676206827347E12;5.978673938137E12;6.321024480878E12;6.643815019188E12
"ADCP";"Total Equity Gross Minority Interest";"BS";1.96983481987E12;2.100195446504E12;2.457997445178E12;2.574162796643E12
"ADCP";"Total Liabilities Net Minority Interest";"BS";2.706372007477E12;3.878478491633E12;3.8630270357E12;4.069652222545E12
"ADCP";"Total Non Current Assets";"BS";1.477532544356E12;2.343352433406E12;2.883403887014E12;3.213231642495E12
"ADCP";"Total Non Current Liabilities Net Minority Interest";"BS";3.14229376287E11;3.59348671153E11;2.83986140506E11;1.495209795852E12
"ADCP";"Total Revenue";"IS";9.77221009504E11;5.63688066425E11;5.92687713783E11;6.5195890377E11
"ADES";"Accounts Payable";"BS";6.3317E10;1.0508E11;1.12266E11;1.15597E11
"ADES";"Accounts Receivable";"BS";1.1961E11;1.62895E11;1.88937E11;2.22758E11
"ADES";"Basic EPS";"IS";230.0;451.0;619.0;671.0
"ADES";"Capital Expenditure";"CF";-4.935E9;-1.8064E11;-3.15991E11;-8.0192E10
"ADES";"Cash And Cash Equivalents";"BS";3.38488E11;3.80237E11;3.77722E11;7.53508E11
"ADES";"Cash Flowsfromusedin Operating Activities Direct";"CF";2.30679E11;3.08341E11;3.12748E11;4.59648E11
"ADES";"Cost Of Revenue";"IS";3.30799E11;4.35507E11;6.2024E11;7.14509E11
"ADES";"Current Assets";"BS";5.45239E11;6.73394E11;8.15319E11;1.23011E12
"ADES";"Current Liabilities";"BS";1.83559E11;2.68367E11;2.54719E11;2.98814E11
"ADES";"End Cash Position";"CF";3.38488E11;3.80237E11;3.77722E11;7.53508E11
"ADES";"Gross Profit";"IS";3.42565E11;4.99568E11;6.70752E11;8.10936E11
"ADES";"Net Income";"IS";1.35789E11;2.65758E11;3.64972E11;3.95798E11
"ADES";"Operating Expense";"IS";1.66137E11;1.72536E11;2.29558E11;3.26906E11
"ADES";"Operating Income";"IS";1.76428E11;3.27032E11;4.41194E11;4.8403E11
"ADES";"Total Assets";"BS";9.58791E11;1.304108E12;1.645582E12;2.085182E12
"ADES";"Total Equity Gross Minority Interest";"BS";7.00508E11;9.69817E11;1.334836E12;1.729808E12
"ADES";"Total Liabilities Net Minority Interest";"BS";2.58283E11;3.34291E11;3.10746E11;3.55374E11
"ADES";"Total Non Current Assets";"BS";4.13552E11;6.30714E11;8.30263E11;8.55072E11
"ADES";"Total Non Current Liabilities Net Minority Interest";"BS";7.4724E10;6.5924E10;5.6027E10;5.656E10
"ADES";"Total Revenue";"IS";6.73364E11;9.35075E11;1.290992E12;1.525445E12
"ADHI";"Accounts Payable";"BS";1.2661070627399E13;1.2770774582579E13;1.1343194486108E13;8.838821657307E12
"ADHI";"Accounts Receivable";"BS";1.7078643907495E13;1.5828528343001E13;1.3921181713956E13;1.6269939477094E13
"ADHI";"Basic EPS";"IS";6.162338;15.5;18.59;25.46
"ADHI";"Capital Expenditure";"CF";-4.6001151896E11;-3.56764764001E11;-1.07299901599E11;-3.18822289945E11
"ADHI";"Cash And Cash Equivalents";"BS";2.363649065033E12;3.15227874973E12;4.336901032232E12;4.503731722859E12
"ADHI";"Cash Flowsfromusedin Operating Activities Direct";"CF";1.436114329566E12;1.516124833702E12;1.224436816989E12;2.48373510773E11
"ADHI";"Cost Of Revenue";"IS";9.091968816661E12;9.774045780098E12;1.1752722145701E13;1.7750066226495E13
"ADHI";"Current Assets";"BS";3.0090503386345E13;3.1600942926217E13;2.9900162633389E13;2.8580550763597E13
"ADHI";"Current Liabilities";"BS";2.7082649503604E13;3.1127451942313E13;2.4768080064517E13;2.4981176224581E13
"ADHI";"End Cash Position";"CF";2.363649065033E12;3.15227874973E12;4.336901032232E12;4.503731722859E12
"ADHI";"Gross Profit";"IS";1.735713600544E12;1.756425932938E12;1.796288082883E12;2.322927201526E12
"ADHI";"Net Income";"IS";2.3976887476E10;5.5185184473E10;8.124217749E10;2.14015935473E11
"ADHI";"Operating Expense";"IS";7.39124283695E11;9.24365568154E11;1.0406140965E12;1.262867450031E12
"ADHI";"Operating Income";"IS";9.96589316849E11;8.32060364784E11;7.55673986383E11;1.060059751495E12
"ADHI";"Total Assets";"BS";3.8093888626551E13;3.9900337834619E13;3.9986417216654E13;4.0492030620079E13
"ADHI";"Total Equity Gross Minority Interest";"BS";5.574810447358E12;5.657707202425E12;8.823791463516E12;9.218792381077E12
"ADHI";"Total Liabilities Net Minority Interest";"BS";3.2519078179193E13;3.4242630632194E13;3.1162625753138E13;3.1273238239002E13
"ADHI";"Total Non Current Assets";"BS";8.003385240206E12;8.299394908402E12;1.0086254583265E13;1.1911479856482E13
"ADHI";"Total Non Current Liabilities Net Minority Interest";"BS";5.436428675589E12;3.115178689881E12;6.394545688621E12;6.292062014421E12
"ADHI";"Total Revenue";"IS";1.0827682417205E13;1.1530471713036E13;1.3549010228584E13;2.0072993428021E13
"ADMF";"Accounts Payable";"BS";1.77874E11;1.19163E11;8.004E10;1.09622E11
"ADMF";"Accounts Receivable";"BS";2.481179E12;2.481179E12;2.481179E12;2.481179E12
"ADMF";"Basic EPS";"IS";1026.0;1213.0;1606.0;1944.0
"ADMF";"Capital Expenditure";"CF";-1.34668E11;-7.0204E10;-4.7793E10;-1.49019E11
"ADMF";"Cash And Cash Equivalents";"BS";4.227409E12;1.63755E12;1.286362E12;1.435491E12
"ADMF";"Cash Flowsfromusedin Operating Activities Direct";"CF";8.452733E12;4.066425E12;8.2935E11;-4.052033E12
"ADMF";"Cost Of Revenue";"IS";3.607311E12;3.004106E12;2.872083E12;3.242382E12
"ADMF";"Current Assets";"BS";2.7992485E13;2.2697411E13;1.2016531E13;1.5158561E13
"ADMF";"Current Liabilities";"BS";1.1779426E13;2.897998E12;5.509838E12;6.257287E12
"ADMF";"End Cash Position";"CF";4.227409E12;1.63755E12;1.286362E12;1.435491E12
"ADMF";"Gross Profit";"IS";4.161827E12;3.65417E12;3.735834E12;4.384661E12
"ADMF";"Net Income";"IS";1.025573E12;1.213316E12;1.605555E12;1.944047E12
"ADMF";"Operating Expense";"IS";4.115086E12;3.819051E12;3.398125E12;3.746166E12
"ADMF";"Operating Income";"IS";4.6741E10;-1.64881E11;3.37709E11;6.38495E11
"ADMF";"Total Assets";"BS";2.9209393E13;2.370914E13;2.4897205E13;3.1007222E13
"ADMF";"Total Equity Gross Minority Interest";"BS";8.010437E12;8.946372E12;1.0032386E13;1.1112186E13
"ADMF";"Total Liabilities Net Minority Interest";"BS";2.1198956E13;1.4762768E13;1.4864819E13;1.9895036E13
"ADMF";"Total Non Current Assets";"BS";1.216908E12;1.011729E12;1.2880674E13;1.5848661E13
"ADMF";"Total Non Current Liabilities Net Minority Interest";"BS";9.41953E12;1.186477E13;9.354981E12;1.3637749E13
"ADMF";"Total Revenue";"IS";7.769138E12;6.658276E12;6.607917E12;7.627043E12
"ADMG";"Accounts Payable";"BS";1.7933119E7;2.0353859E7;1.9036222E7;2.4617141E7
"ADMG";"Accounts Receivable";"BS";1.5769228E7;1.438898E7;8057582.0;7181691.0
"ADMG";"Basic EPS";"IS";-0.0099;1.0E-4;-0.0069;-0.0049
"ADMG";"Capital Expenditure";"CF";-1403424.0;-1263014.0;-1117979.0;-1035034.0
"ADMG";"Cash And Cash Equivalents";"BS";1.1041822E7;1.1354939E7;8539274.0;5865322.0
"ADMG";"Cash Flowsfromusedin Operating Activities Direct";"CF";-1654302.0;1297594.0;-3731403.0;-1657752.0
"ADMG";"Cost Of Revenue";"IS";1.70623336E8;1.90495645E8;1.52971363E8;1.06757502E8
"ADMG";"Current Assets";"BS";7.7977126E7;8.2113507E7;5.8105339E7;5.5259401E7
"ADMG";"Current Liabilities";"BS";2.2365962E7;2.3754846E7;2.1395255E7;2.7434627E7
"ADMG";"End Cash Position";"CF";1.1041822E7;1.1354939E7;8539274.0;5865322.0
"ADMG";"Gross Profit";"IS";-1.7910587E7;-303094.0;-1.0197443E7;-1954822.0
"ADMG";"Net Income";"IS";-3.8667944E7;350635.0;-2.6743893E7;-1.9115427E7
"ADMG";"Operating Expense";"IS";9295084.0;5784411.0;5459599.0;5210316.0
"ADMG";"Operating Income";"IS";-2.7205671E7;-6087505.0;-1.5657042E7;-7165138.0
"ADMG";"Total Assets";"BS";2.05448147E8;2.03668221E8;1.72000176E8;1.58715638E8
"ADMG";"Total Equity Gross Minority Interest";"BS";1.68715751E8;1.71869114E8;1.45262523E8;1.25999415E8
"ADMG";"Total Liabilities Net Minority Interest";"BS";3.6732396E7;3.1799107E7;2.6737653E7;3.2716223E7
"ADMG";"Total Non Current Assets";"BS";1.27471021E8;1.21554714E8;1.13894837E8;1.03456237E8
"ADMG";"Total Non Current Liabilities Net Minority Interest";"BS";1.4366434E7;8044261.0;5342398.0;5281596.0
"ADMG";"Total Revenue";"IS";1.52712749E8;1.90192551E8;1.4277392E8;1.0480268E8
"ADMR";"Accounts Payable";"BS";2.074159E7;2.0093927E7;2.2612686E7;3.347807E7
"ADMR";"Accounts Receivable";"BS";5137636.0;8.8341506E7;6.4188481E7;1.82440224E8
"ADMR";"Basic EPS";"IS";-6.92E-4;0.003794;0.0081;0.0081
"ADMR";"Capital Expenditure";"CF";-4.7436718E7;-1.1449436E7;-2.127469E7;-1.34727873E8
"ADMR";"Cash And Cash Equivalents";"BS";4.2572296E7;1.80828189E8;5.11382167E8;5.86422531E8
"ADMR";"Cash Flowsfromusedin Operating Activities Direct";"CF";2.9791089E7;1.6016789E8;4.79691758E8;2.96585023E8
"ADMR";"Cost Of Revenue";"IS";1.34474751E8;2.19720456E8;3.73227386E8;5.0275001E8
"ADMR";"Current Assets";"BS";1.7081958E8;3.16529859E8;6.46374336E8;8.84554253E8
"ADMR";"Current Liabilities";"BS";8.0039103E7;9.242767E7;1.97034879E8;2.09750178E8
"ADMR";"End Cash Position";"CF";4.2572296E7;1.80828189E8;5.11382167E8;5.86422531E8
"ADMR";"Gross Profit";"IS";-1.1170814E7;2.40450292E8;5.3491466E8;5.83211911E8
"ADMR";"Net Income";"IS";-2.8285428E7;1.55110738E8;3.32210508E8;4.41021896E8
"ADMR";"Operating Expense";"IS";1.5605744E7;2.5098367E7;7.5089023E7;9473972.0
"ADMR";"Operating Income";"IS";-2.6776558E7;2.15351925E8;4.59825637E8;5.73737939E8
"ADMR";"Total Assets";"BS";8.5522228E8;9.65702525E8;1.286624764E9;1.695419616E9
"ADMR";"Total Equity Gross Minority Interest";"BS";2.59146459E8;2.05444013E8;5.69307624E8;1.038049195E9
"ADMR";"Total Liabilities Net Minority Interest";"BS";5.96075821E8;7.60258512E8;7.1731714E8;6.57370421E8
"ADMR";"Total Non Current Assets";"BS";6.844027E8;6.49172666E8;6.40250428E8;8.10865363E8
"ADMR";"Total Non Current Liabilities Net Minority Interest";"BS";5.16036718E8;6.67830842E8;5.20282261E8;4.47620243E8
"ADMR";"Total Revenue";"IS";1.23303937E8;4.60170748E8;9.08142046E8;1.085961921E9
"ADRO";"Accounts Payable";"BS";2.14273E8;2.72409E8;3.33212E8;3.44743E8
"ADRO";"Accounts Receivable";"BS";2.24146E8;4.51989E8;6.47153E8;5.20494E8
"ADRO";"Basic EPS";"IS";0.00459;0.02927;0.08032;0.05309
"ADRO";"Capital Expenditure";"CF";-1.79952E8;-1.80714E8;-4.03609E8;-5.87773E8
"ADRO";"Cash And Cash Equivalents";"BS";1.173703E9;1.811141E9;4.067358E9;3.311232E9
"ADRO";"Cash Flowsfromusedin Operating Activities Direct";"CF";7.38753E8;1.436332E9;3.864254E9;1.152758E9
"ADRO";"Cost Of Revenue";"IS";1.958113E9;2.222972E9;3.449427E9;3.980272E9
"ADRO";"Current Assets";"BS";1.731867E9;2.838132E9;5.319309E9;4.302033E9
"ADRO";"Current Liabilities";"BS";1.144923E9;1.361558E9;2.447512E9;2.135234E9
"ADRO";"End Cash Position";"CF";1.173703E9;1.811141E9;4.067358E9;3.311232E9
"ADRO";"Gross Profit";"IS";5.76729E8;1.769746E9;4.652972E9;2.537284E9
"ADRO";"Net Income";"IS";1.46927E8;9.33492E8;2.49308E9;1.641437E9
"ADRO";"Operating Expense";"IS";1.67013E8;1.93071E8;3.75974E8;3.46129E8
"ADRO";"Operating Income";"IS";4.09716E8;1.576675E9;4.276998E9;2.191155E9
"ADRO";"Total Assets";"BS";6.381566E9;7.586936E9;1.0782307E10;1.0472711E10
"ADRO";"Total Equity Gross Minority Interest";"BS";3.951714E9;4.458315E9;6.527338E9;7.40875E9
"ADRO";"Total Liabilities Net Minority Interest";"BS";2.429852E9;3.128621E9;4.254969E9;3.063961E9
"ADRO";"Total Non Current Assets";"BS";4.649699E9;4.748804E9;5.462998E9;6.170678E9
"ADRO";"Total Non Current Liabilities Net Minority Interest";"BS";1.284929E9;1.767063E9;1.807457E9;9.28727E8
"ADRO";"Total Revenue";"IS";2.534842E9;3.992718E9;8.102399E9;6.517556E9
"AGII";"Accounts Payable";"BS";1.16251E11;1.23391E11;1.56087E11;1.56087E11
"AGII";"Accounts Receivable";"BS";3.75073E11;4.21148E11;4.33572E11;4.33572E11
"AGII";"Basic EPS";"IS";31.59;66.9;32.63;32.63
"AGII";"Capital Expenditure";"CF";-2.97171E11;-9.76775E11;-3.40259E11;-3.40259E11
"AGII";"Cash And Cash Equivalents";"BS";4.05164E11;8.09094E11;6.36907E11;6.36907E11
"AGII";"Cash Flowsfromusedin Operating Activities Direct";"CF";3.64251E11;6.05946E11;5.22544E11;5.22544E11
"AGII";"Cost Of Revenue";"IS";1.254746E12;1.507448E12;1.456948E12;1.456948E12
"AGII";"Current Assets";"BS";1.629893E12;2.044419E12;1.917368E12;1.917368E12
"AGII";"Current Liabilities";"BS";1.615068E12;1.979987E12;1.643446E12;1.643446E12
"AGII";"End Cash Position";"CF";4.05164E11;8.09094E11;6.36907E11;6.36907E11
"AGII";"Gross Profit";"IS";9.33433E11;1.231365E12;1.155516E12;1.155516E12
"AGII";"Net Income";"IS";9.6412E10;2.04183E11;9.9338E10;9.9338E10
"AGII";"Operating Expense";"IS";5.76715E11;6.63636E11;7.26242E11;7.26242E11
"AGII";"Operating Income";"IS";3.56718E11;5.67729E11;4.29274E11;4.29274E11
"AGII";"Total Assets";"BS";7.121458E12;8.164599E12;8.041989E12;8.041989E12
"AGII";"Total Equity Gross Minority Interest";"BS";3.382141E12;3.582925E12;3.695974E12;3.695974E12
